,Class: 0,Class: 1,Coverage (in %),Precision (in %),Rule Description
0,317,1,52,100,variance > 2.39 THEN Predict class: 0
1,0,153,31,100,variance <= -2.80 THEN Predict class: 1
2,44,211,43,83,-2.80 < variance <= -0.40 AND -5.87 < entropy <= 1.00 THEN Predict class: 1
3,0,80,16,100,skewness <= -6.98 THEN Predict class: 1
4,96,0,16,100,skewness > 9.62 THEN Predict class: 0
5,200,37,33,84,5.83 < skewness <= 9.62 THEN Predict class: 0
6,184,298,61,62,-2.30 < skewness <= 5.21 THEN Predict class: 1
7,552,370,91,60,-3.68 < curtosis <= 8.84 THEN Predict class: 0
8,10,54,11,84,-6.98 < skewness <= -5.51 THEN Predict class: 1
9,0,10,2,100,curtosis <= -4.96 THEN Predict class: 1
